qid,count,majority,label
www.stageoflife.com,3,,"[5, 12, 6]"
www.cultofpedagogy.com,4,,"[10, 12, 3, 9]"
prd-idrc.azureedge.net,3,,"[12, 5, 1]"
ec.europa.eu,3,,"[10, 3, 2]"
www.marketwatch.com,3,,"[6, 5, 3]"
uk.sagepub.com,3,,"[4, 3, 10]"
www.7cups.com,3,,"[4, 12, 7]"
www.irishtimes.com,3,,"[5, 2, 0]"
www.girlsaskguys.com,3,,"[12, 5, 11]"
www.eatthis.com,3,,"[7, 9, 3]"
wellkeptwallet.com,4,,"[6, 6, 3, 3]"
dailycollegian.com,3,,"[0, 12, 5]"
thehill.com,3,,"[0, 2, 10]"
www.nogettingoffthistrain.com,3,,"[6, 3, 12]"
www.allrecipes.com,3,,"[9, 3, 5]"
www.onehundreddollarsamonth.com,3,,"[4, 10, 0]"
www.boredpanda.com,3,,"[10, 9, 5]"
www.tripadvisor.com,3,,"[3, 10, 6]"
ohmyapt.apartmentratings.com,3,,"[2, 3, 5]"
www.tutorialspoint.com,3,,"[10, 1, 13]"
www.learning-mind.com,3,,"[4, 1, 10]"
www.actforlibraries.org,3,,"[2, 1, 8]"
bmcpublichealth.biomedcentral.com,3,,"[6, 8, 1]"
worldhumanitiesfths.wordpress.com,3,,"[3, 0, 12]"
www.elitedaily.com,3,,"[0, 7, 9]"
www.thespruce.com,3,,"[5, 9, 11]"
aspe.hhs.gov,3,,"[5, 3, 9]"
www.jec.senate.gov,3,,"[2, 8, 10]"
www.csun.edu,3,,"[9, 3, 10]"
www.ninds.nih.gov,3,,"[3, 5, 10]"
www.change.org,3,,"[1, 12, 8]"
dev.rickhanson.net,3,,"[11, 6, 1]"
www.who.int,3,,"[5, 4, 2]"
www.globalresearch.ca,3,,"[12, 1, 0]"
www.supremecourt.gov,3,,"[12, 0, 10]"
www.loomio.org,3,,"[12, 7, 5]"
burnetnewsclub.com,3,,"[0, 7, 5]"
www.state.gov,3,,"[0, 5, 2]"
en.wikibooks.org,3,,"[2, 4, 10]"
www.technologyreview.com,3,,"[3, 5, 8]"
law.emory.edu,3,,"[12, 1, 10]"
sweden.se,3,,"[7, 5, 0]"
silo.tips,4,,"[3, 9, 10, 2]"
asoiaf.westeros.org,3,,"[12, 7, 1]"
www.ohchr.org,3,,"[1, 3, 5]"
docplayer.org,3,,"[2, 9, 10]"
course-notes.org,3,,"[1, 7, 4]"
www.lowyinstitute.org,3,,"[0, 9, 5]"
www.fdu.edu,3,,"[9, 1, 10]"
childprotectionresource.online,3,,"[5, 11, 9]"
keydifferences.com,3,,"[7, 3, 2]"
www.betterhealth.vic.gov.au,3,,"[0, 8, 5]"
www.usnews.com,3,,"[5, 0, 10]"
reliefweb.int,3,,"[0, 5, 10]"
scholarcommons.usf.edu,3,,"[12, 10, 0]"
www.copdfoundation.org,3,,"[5, 9, 13]"
enyotalearning.com,3,,"[3, 0, 4]"
workplace.stackexchange.com,3,,"[11, 12, 6]"
www.columbia.edu,3,,"[1, 8, 9]"
srdogs.com,3,,"[9, 3, 5]"
www.thearda.com,3,,"[12, 7, 10]"
www.beliefnet.com,3,,"[5, 1, 12]"
www.catholicworldreport.com,3,,"[2, 5, 1]"
www.thisoldhouse.com,3,,"[7, 5, 3]"
www.uspto.gov,3,,"[5, 0, 1]"
www.gamesindustry.biz,3,,"[5, 2, 6]"
www.rockpapershotgun.com,3,,"[3, 6, 5]"
golang.org,3,,"[1, 10, 2]"
www.plannedparenthood.org,3,,"[1, 5, 9]"
www.seventeen.com,3,,"[2, 3, 10]"
www.augustahealth.com,3,,"[3, 10, 8]"
www.sportingnews.com,3,,"[0, 9, 1]"
inamerica.blogs.cnn.com,3,,"[1, 13, 3]"
dadsdivorce.com,3,,"[1, 9, 3]"
www.toptal.com,3,,"[6, 4, 9]"
answers.microsoft.com,3,,"[1, 11, 12]"
4cd.instructure.com,3,,"[0, 12, 10]"
reproductiverights.org,3,,"[5, 11, 7]"
www.fanfiction.net,3,,"[12, 1, 11]"
www.5280.com,3,,"[9, 3, 7]"
www.collectiveimpactforum.org,3,,"[12, 7, 8]"
armytage.net,3,,"[9, 7, 4]"
medlineplus.gov,3,,"[8, 10, 4]"
www.unicef.org,3,,"[0, 8, 7]"
bemoacademicconsulting.com,3,,"[10, 9, 7]"
greatergood.berkeley.edu,3,,"[5, 11, 1]"
www.oldsportscards.com,3,,"[3, 9, 2]"
www.slayerment.com,3,,"[3, 9, 0]"
comment.ipsp.org,3,,"[1, 10, 12]"
ips-dc.org,3,,"[10, 0, 5]"
idoc.pub,3,,"[0, 12, 4]"
www.reuters.com,3,,"[6, 0, 7]"
www.popularmechanics.com,3,,"[4, 13, 8]"
knowledge.wharton.upenn.edu,3,,"[10, 1, 0]"
dxschool.org,3,,"[3, 10, 0]"
www.selfgrowth.com,3,,"[1, 5, 3]"
copyblogger.com,3,,"[3, 12, 11]"
genetics.thetech.org,3,,"[10, 5, 7]"
www.claimsjournal.com,3,,"[9, 5, 1]"
myarmybenefits.us.army.mil,3,,"[11, 9, 3]"
www.middleweb.com,3,,"[3, 10, 9]"
kidsit.com,3,,"[2, 9, 10]"
www.health.ny.gov,3,,"[3, 5, 10]"
www.empoweringparents.com,3,,"[12, 3, 4]"
blog.writeathome.com,3,,"[3, 11, 10]"
www.cbc.ca,3,,"[7, 3, 0]"
www.gov.uk,3,,"[2, 3, 6]"
www.amnesty.org,4,,"[12, 4, 3, 5]"
www.nraila.org,3,,"[1, 0, 9]"
www.veritas.org,3,,"[0, 9, 12]"
mybookcave.com,3,,"[10, 8, 7]"
www.outsidethebeltway.com,3,,"[5, 3, 4]"
www.commonwealthfund.org,3,,"[6, 1, 5]"
www.jcs.mil,3,,"[4, 12, 2]"
www.azcentral.com,3,,"[0, 3, 5]"
www.mdpi.com,3,,"[0, 1, 10]"
debatewise.org,3,,"[11, 6, 10]"
www.digitalmusicnews.com,3,,"[4, 2, 7]"
www.nngroup.com,3,,"[2, 8, 4]"
dengarden.com,3,,"[9, 2, 1]"
www.tasteofhome.com,3,,"[5, 3, 4]"
thoughtcatalog.com,3,,"[3, 0, 5]"
www.bonappetit.com,3,,"[10, 9, 7]"
my.clevelandclinic.org,3,,"[7, 8, 4]"
youlookfab.com,3,,"[3, 1, 7]"
www.houseofhepworths.com,3,,"[9, 4, 7]"
www.nerdfitness.com,4,,"[3, 4, 9, 5]"
www.thefreshloaf.com,4,,"[2, 12, 3, 10]"
www.skinnytaste.com,3,,"[7, 4, 10]"
forums.whirlpool.net.au,3,,"[10, 12, 5]"
www.thrillist.com,3,,"[0, 7, 1]"
www.consumer.ftc.gov,3,,"[5, 0, 2]"
www.trade-schools.net,3,,"[2, 4, 5]"
stackoverflow.blog,3,,"[5, 8, 1]"
warontherocks.com,3,,"[12, 9, 7]"
digitalcommons.wcl.american.edu,3,,"[9, 1, 4]"
kennettvet.com,3,,"[10, 7, 4]"
support.google.com,3,,"[3, 10, 0]"
www.oricom.ca,3,,"[4, 2, 7]"
www.drupal.org,3,,"[8, 12, 10]"
dc.etsu.edu,3,,"[9, 10, 12]"
www.usga.org,4,,"[11, 0, 9, 7]"
misslays.com,3,,"[10, 3, 1]"
biblereasons.com,3,,"[7, 4, 9]"
massbudget.org,3,,"[11, 6, 10]"
www.collinsdictionary.com,3,,"[10, 4, 9]"
www.kerrysiggins.com,3,,"[1, 3, 5]"
www.sciencedirect.com,3,,"[10, 4, 9]"
www.theroot.com,3,,"[5, 3, 9]"
www.international.gc.ca,3,,"[5, 3, 9]"
canadacitizenshiphelp.ca,4,,"[7, 5, 10, 3]"
macaulay.cuny.edu,3,,"[0, 10, 4]"
www.thegamer.com,3,,"[8, 10, 12]"
www.mindbodygreen.com,3,,"[6, 7, 2]"
www.hsdl.org,3,,"[6, 5, 10]"
www.snopes.com,3,,"[2, 3, 9]"
www.buffalo.edu,3,,"[10, 2, 1]"
pubmed.ncbi.nlm.nih.gov,3,,"[2, 9, 1]"
www.bridgealliance.us,3,,"[1, 5, 4]"
www.sightline.org,3,,"[5, 0, 8]"
www.thenation.com,3,,"[0, 3, 10]"
www.thefreelibrary.com,3,,"[10, 4, 0]"
www.northjersey.com,3,,"[9, 5, 4]"
www.usccr.gov,4,,"[10, 2, 2, 10]"
furtheriaskthat.blogspot.com,3,,"[8, 12, 3]"
www.danieldrezner.com,3,,"[3, 5, 4]"
fs.blog,3,,"[9, 5, 3]"
hubpages.com,3,,"[9, 10, 5]"
losangeles.cbslocal.com,3,,"[4, 9, 6]"
iag.me,3,,"[6, 5, 10]"
armorgames.com,3,,"[1, 12, 5]"
www.brainline.org,3,,"[1, 5, 4]"
www.unhcr.org,3,,"[4, 6, 5]"
www.citizensadvice.org.uk,3,,"[1, 7, 5]"
www.unodc.org,4,,"[12, 5, 4, 1]"
dcs.az.gov,3,,"[11, 4, 3]"
www.davidwygant.com,3,,"[7, 5, 3]"
um-insight.net,3,,"[5, 3, 0]"
www.insidehighered.com,3,,"[3, 11, 4]"
www.charismanews.com,3,,"[3, 12, 7]"
www.yahoo.com,3,,"[9, 0, 10]"
www.madinamerica.com,3,,"[4, 0, 1]"
www.slideshare.net,3,,"[1, 10, 8]"
www.businessballs.com,4,,"[1, 6, 10, 8]"
www.csis.org,3,,"[5, 4, 8]"
www.sportskeeda.com,3,,"[0, 4, 7]"
cis.org,3,,"[13, 2, 1]"
www.aceproject.org,3,,"[9, 7, 10]"
www.centerforsecuritypolicy.org,3,,"[12, 5, 2]"
forums.spacebattles.com,3,,"[12, 0, 4]"
velo-citta.eu,3,,"[0, 7, 12]"
www.dissentmagazine.org,3,,"[8, 0, 3]"
www.khanacademy.org,3,,"[10, 7, 5]"
www.emerald.com,4,,"[1, 10, 0, 7]"
policyoptions.irpp.org,3,,"[10, 7, 5]"
library.oapen.org,3,,"[3, 9, 10]"
www.ntia.doc.gov,3,,"[2, 8, 4]"
apps.who.int,3,,"[2, 4, 12]"
www.dcaf.ch,3,,"[0, 13, 10]"
statmodeling.stat.columbia.edu,3,,"[7, 10, 2]"
www.idrc.ca,3,,"[10, 5, 1]"
www.charleston-sc.gov,3,,"[5, 9, 2]"
aquasoftrefinedwater.com,3,,"[3, 5, 9]"
boe.es,3,,"[13, 12, 2]"
www.wto.org,3,,"[6, 10, 7]"
publications.parliament.uk,3,,"[2, 5, 10]"
www.5esrd.com,3,,"[5, 3, 12]"
www.voltairenet.org,3,,"[13, 2, 5]"
pteacademicexam.com,3,,"[12, 8, 5]"
www.colorado.edu,3,,"[4, 5, 10]"
nces.ed.gov,4,,"[2, 2, 10, 10]"
www.journals.uchicago.edu,3,,"[10, 1, 7]"
connectusfund.org,3,,"[7, 9, 3]"
www.hillsdale.edu,3,,"[6, 10, 2]"
www.diputados.gob.mx,3,,"[5, 10, 7]"
content.nroc.org,3,,"[3, 10, 7]"
www.letu.edu,3,,"[7, 10, 12]"
cme.lww.com,3,,"[1, 10, 8]"
www.thcfarmer.com,3,,"[0, 9, 12]"
www.aish.com,3,,"[4, 7, 5]"
www.indiewire.com,3,,"[7, 5, 8]"
blogs.worldbank.org,3,,"[3, 10, 0]"
dokumen.pub,3,,"[9, 0, 7]"
www.iedconline.org,3,,"[5, 6, 10]"
www.idea.int,3,,"[5, 0, 2]"
www.studenthomeworkhelp.com,3,,"[11, 7, 12]"
regulations.justia.com,3,,"[2, 6, 11]"
www.ub.edu,3,,"[10, 7, 8]"
www.marieclaire.com,3,,"[7, 9, 5]"
starwars.fandom.com,3,,"[3, 10, 0]"
marvel-movies.fandom.com,3,,"[10, 3, 7]"
www.dmv.virginia.gov,3,,"[5, 4, 13]"
www.factcheck.org,3,,"[11, 1, 8]"
solvingtheibspuzzle.com,3,,"[4, 12, 11]"
voxeu.org,3,,"[0, 1, 5]"
www.cgap.org,3,,"[10, 3, 6]"
healthcheck.indiaspend.com,3,,"[2, 0, 13]"
amvoice.3cdn.net,3,,"[13, 12, 9]"
www.healthaffairs.org,3,,"[9, 10, 1]"
www.thebalancesmb.com,3,,"[6, 3, 0]"
www.robgreenfield.org,3,,"[7, 9, 12]"
digitalcommons.wayne.edu,3,,"[10, 8, 9]"
www.softpanorama.org,3,,"[8, 3, 5]"
www.annualreviews.org,3,,"[1, 3, 11]"
www.richarddawkins.net,3,,"[5, 3, 8]"
www.dw.com,3,,"[0, 3, 7]"
www.leblogdeco.fr,3,,"[12, 9, 7]"
www.scl.org,3,,"[7, 0, 9]"
knigosite.org,4,,"[3, 10, 9, 7]"
lewislawoftrusts.lawbooks.cali.org,3,,"[3, 12, 10]"
www.lifehacker.com.au,3,,"[8, 3, 9]"
foothill.edu,3,,"[13, 5, 10]"
www.roleplayerguild.com,3,,"[12, 9, 5]"
www.enworld.org,3,,"[0, 2, 5]"
scholarworks.uark.edu,3,,"[5, 1, 10]"
worldwarz.fandom.com,3,,"[3, 9, 12]"
www.townandcountrymag.com,3,,"[3, 9, 7]"
www.biblicalarchaeology.org,3,,"[1, 4, 10]"
www.therichest.com,3,,"[5, 1, 13]"
home.sandiego.edu,3,,"[1, 10, 7]"
www.world-of-lucid-dreaming.com,3,,"[2, 11, 1]"
jwfacts.com,3,,"[1, 10, 11]"
www.prospects.ac.uk,3,,"[12, 10, 3]"
www.lifescied.org,3,,"[3, 7, 4]"
www.paws.org,3,,"[2, 7, 10]"
www.degruyter.com,4,,"[3, 1, 9, 10]"
www.preceptaustin.org,3,,"[4, 10, 12]"
www.jewishvirtuallibrary.org,3,,"[1, 7, 9]"
www.jewfaq.org,3,,"[13, 3, 2]"
justone.co.uk,3,,"[12, 0, 7]"
thejustoneproject.org,3,,"[12, 0, 10]"
www.transunion.ca,3,,"[2, 6, 9]"
www.blueletterbible.org,3,,"[2, 10, 9]"
wowchurch.blogspot.com,3,,"[2, 7, 10]"
ayehu.com,3,,"[2, 1, 7]"
builtin.com,3,,"[8, 10, 9]"
www.ibanet.org,3,,"[13, 9, 10]"
www.baltimoresun.com,3,,"[5, 13, 6]"
spriggsbrothers.com,3,,"[7, 1, 5]"
slate.com,3,,"[6, 7, 8]"
masspeaceaction.org,3,,"[1, 7, 12]"
www.salon.com,3,,"[4, 12, 0]"
www.chausa.org,3,,"[13, 5, 6]"
www.indeed.com,3,,"[7, 10, 1]"
forums.larian.com,3,,"[11, 1, 12]"
thenocturnalrambler.blogspot.com,3,,"[10, 12, 3]"
cottageslsl.com,3,,"[5, 3, 9]"
www.i-scoop.eu,3,,"[10, 8, 9]"
www.nosurveynohumanverification.com,3,,"[9, 8, 10]"
isocpp.github.io,3,,"[8, 4, 13]"
www.spectator.co.uk,3,,"[1, 3, 2]"
www.americanbar.org,3,,"[12, 3, 1]"
socialconcerns.nd.edu,3,,"[4, 10, 5]"
www.californialawreview.org,3,,"[0, 12, 5]"
mtonews.com,3,,"[2, 7, 1]"
periodaisle.com,3,,"[4, 1, 3]"
www.ncaa.org,3,,"[0, 9, 1]"
www.resetera.com,3,,"[3, 12, 0]"
www.smh.com.au,3,,"[1, 5, 10]"
www.iup.edu,3,,"[4, 5, 7]"
www.spanishdict.com,3,,"[11, 0, 10]"
lovesedona.com,3,,"[5, 7, 3]"
www.nm.org,3,,"[1, 5, 8]"
genderanalysis.net,3,,"[2, 4, 0]"
business.linkedin.com,3,,"[1, 3, 6]"
www.amazon.com,3,,"[6, 3, 8]"
magoosh.com,3,,"[10, 4, 9]"
jpfo.org,3,,"[0, 4, 9]"
www.ielts-mentor.com,3,,"[3, 10, 7]"
www.wanderlustworker.com,3,,"[0, 10, 7]"
forums.golfwrx.com,3,,"[5, 12, 1]"
mlblogssnaggingbaseballs.wordpress.com,3,,"[10, 3, 7]"
www.mlbtraderumors.com,3,,"[12, 3, 0]"
mrsmindfulness.com,3,,"[3, 4, 10]"
caitlinjohnstone.com,3,,"[0, 10, 3]"
insight.kellogg.northwestern.edu,3,,"[0, 2, 9]"
thephilosophicalprimate.wordpress.com,3,,"[1, 3, 10]"
www.yelp.com,3,,"[12, 3, 11]"
ultramunch.com,3,,"[10, 7, 2]"
www.thorne.com,3,,"[2, 8, 5]"
schoolafm.com,3,,"[9, 5, 10]"
featurepoints.com,3,,"[5, 10, 7]"
www.cia.gov,3,,"[1, 5, 12]"
www.bilderberg.org,3,,"[10, 2, 3]"
apps.dtic.mil,3,,"[11, 13, 10]"
www.journalism.org,3,,"[8, 0, 9]"
vwcceng111.pressbooks.com,3,,"[1, 5, 10]"
www.discovermagazine.com,3,,"[3, 10, 8]"
webapps.stackexchange.com,3,,"[6, 12, 1]"
www.nintendolife.com,3,,"[7, 5, 10]"
upjourney.com,3,,"[9, 1, 11]"
inequality.org,3,,"[10, 1, 9]"
www.sec.gov,3,,"[9, 10, 6]"
www.apartmentlist.com,3,,"[9, 6, 10]"
www.501c3.org,3,,"[12, 10, 6]"
tonsofthanks.com,3,,"[7, 1, 11]"
www.helpscout.com,3,,"[9, 0, 8]"
www.modcircus.com,3,,"[9, 3, 7]"
www.betterhelp.com,3,,"[3, 4, 11]"
www.presidency.ucsb.edu,3,,"[2, 0, 5]"
forums.galaxy-of-heroes.starwars.ea.com,3,,"[8, 1, 12]"
wordpress.lehigh.edu,3,,"[3, 10, 6]"
mvslim.com,3,,"[5, 3, 4]"
kennedy.byu.edu,3,,"[4, 10, 7]"
positivesharing.com,3,,"[3, 5, 2]"
burrunjor.com,3,,"[8, 3, 5]"
www.tennessean.com,3,,"[0, 3, 4]"
lifedynamics.com,3,,"[5, 0, 3]"
www.helpguide.org,3,,"[11, 9, 4]"
www.css.edu,3,,"[3, 12, 5]"
medicalschoolhq.net,3,,"[5, 3, 9]"
jois.eu,3,,"[1, 5, 7]"
www.marketing91.com,3,,"[6, 11, 10]"
www.paypal-community.com,3,,"[10, 1, 5]"
data.oireachtas.ie,3,,"[3, 4, 1]"
digitalcommons.law.uw.edu,3,,"[10, 5, 3]"
www.carltonfields.com,3,,"[2, 5, 3]"
allvintagecards.com,3,,"[10, 3, 13]"
coolmaterial.com,3,,"[3, 1, 10]"
blog.samaltman.com,3,,"[3, 5, 9]"
philosophyhubblog.wordpress.com,3,,"[10, 13, 3]"
repository.asu.edu,3,,"[4, 10, 1]"
www.bowdoin.edu,3,,"[12, 1, 10]"
www.tdx.cat,3,,"[1, 10, 0]"
consortiumnews.com,3,,"[0, 7, 12]"
www.occupy.com,3,,"[5, 9, 4]"
www.bet.com,3,,"[10, 0, 7]"
www.c2es.org,3,,"[5, 10, 1]"
scitechdaily.com,3,,"[8, 1, 9]"
madison1137.wordpress.com,4,,"[10, 9, 3, 0]"
scheerpost.com,3,,"[11, 13, 3]"
omnicenter.org,3,,"[5, 12, 7]"
eldercarealliance.org,3,,"[3, 9, 8]"
vertavahealth.com,3,,"[1, 4, 8]"
www.stridentconservative.com,3,,"[10, 12, 1]"
www.lewrockwell.com,3,,"[9, 6, 1]"
www.noqreport.com,3,,"[8, 10, 5]"
www.geisinger.org,3,,"[9, 3, 11]"
www.12minuteathlete.com,3,,"[3, 2, 9]"
sourcesofinsight.com,3,,"[4, 10, 11]"
raywilliams.ca,3,,"[3, 8, 2]"
themiddleground.org,3,,"[9, 12, 7]"
www.mindtools.com,3,,"[13, 4, 6]"
exploringyourmind.com,3,,"[1, 2, 9]"
www.nshss.org,3,,"[5, 7, 8]"
patterns.architexturez.net,3,,"[1, 6, 0]"
www.dreamencyclopedia.net,3,,"[9, 13, 11]"
www.marieforleo.com,3,,"[4, 3, 10]"
maybusch.com,3,,"[10, 2, 8]"
www.cracked.com,3,,"[3, 13, 7]"
www.alwaysadvancing.net,4,,"[5, 9, 10, 3]"
familydoctor.org,3,,"[10, 9, 11]"
dogtime.com,3,,"[10, 7, 4]"
aeon.co,3,,"[9, 4, 0]"
www.deeranddeerhunting.com,3,,"[10, 5, 7]"
www.thestreet.com,3,,"[9, 0, 6]"
thedivinelowcarb.blogspot.com,3,,"[1, 3, 9]"
wa.kaiserpermanente.org,3,,"[0, 1, 8]"
www.wikijob.co.uk,3,,"[5, 10, 1]"
www.prepscholar.com,3,,"[6, 10, 11]"
blog.powerscore.com,3,,"[9, 3, 12]"
blog.mypacer.com,3,,"[7, 9, 13]"
www.epainassist.com,3,,"[4, 3, 10]"
work.chron.com,3,,"[5, 9, 3]"
www.edu.gov.mb.ca,3,,"[2, 3, 9]"
www.nrcs.usda.gov,4,,"[2, 2, 10, 10]"
www.legion.org,3,,"[4, 10, 7]"
www.kainosworksmart.com,3,,"[8, 10, 1]"
www.givingwhatwecan.org,3,,"[1, 4, 8]"
adata.org,5,,"[5, 4, 7, 1, 3]"
icandrive.ca,3,,"[11, 9, 10]"
www.hopesandfears.com,3,,"[7, 4, 9]"
www.scienceforums.net,3,,"[4, 12, 13]"
www.mindcontroversy.com,3,,"[4, 7, 9]"
www.reproductivefacts.org,3,,"[0, 9, 1]"
collegeadmissions.uchicago.edu,3,,"[11, 8, 3]"
www.chronicle.com,3,,"[2, 1, 11]"
aslopubs.onlinelibrary.wiley.com,3,,"[10, 4, 1]"
www.unigo.com,3,,"[10, 9, 11]"
digitalcommons.brockport.edu,3,,"[5, 3, 1]"
files.eric.ed.gov,3,,"[10, 8, 1]"
www.misd.net,3,,"[2, 11, 10]"
www.lynnwebstermd.com,3,,"[8, 1, 4]"
usawatchdog.com,4,,"[3, 13, 8, 1]"
www.uphelp.org,3,,"[1, 4, 11]"
www.thehighroad.org,3,,"[1, 4, 5]"
topdocumentaryfilms.com,3,,"[2, 10, 7]"
www.dallasobserver.com,3,,"[4, 8, 0]"
blog.hurree.co,3,,"[13, 1, 3]"
www.dubai-online.com,3,,"[9, 1, 10]"
weeklysift.com,3,,"[11, 8, 3]"
www.survivopedia.com,3,,"[10, 7, 6]"
www.wral.com,4,,"[1, 8, 0, 2]"
www.ctc.ca.gov,3,,"[2, 5, 4]"
modernsurvivalblog.com,3,,"[3, 5, 10]"
cals.ncsu.edu,3,,"[0, 3, 5]"
www.hf.uio.no,3,,"[9, 13, 1]"
lunginstitute.com,3,,"[11, 8, 4]"
solarsystem.nasa.gov,3,,"[9, 8, 10]"
indianexpress.com,3,,"[2, 4, 0]"
www.h2g2.com,3,,"[7, 1, 2]"
insh.world,3,,"[1, 9, 3]"
ciceros.org,3,,"[4, 1, 5]"
pediaa.com,4,,"[0, 10, 5, 9]"
www.youngstonewall.org.uk,4,,"[6, 11, 4, 10]"
thriveglobal.com,3,,"[4, 9, 2]"
strangenotions.com,3,,"[2, 7, 11]"
www.eonline.com,3,,"[1, 3, 0]"
www.whitecoatinvestor.com,3,,"[1, 6, 4]"
popdirt.com,3,,"[1, 7, 10]"
liekkisusi.files.wordpress.com,3,,"[11, 4, 1]"
www.shfb.org,3,,"[7, 10, 1]"
www.housemixblog.com,3,,"[3, 10, 9]"
www.lifeinthecircus.com,3,,"[1, 3, 10]"
spoonuniversity.com,3,,"[1, 9, 10]"
topclassactions.com,3,,"[0, 7, 10]"
www.target.com,3,,"[4, 3, 1]"
www.kiplinger.com,3,,"[6, 0, 3]"
www.thefrugalgirl.com,3,,"[6, 5, 2]"
www.timeanddate.com,3,,"[9, 2, 4]"
cookingwithmammac.com,3,,"[9, 2, 3]"
www.nutritionadvance.com,3,,"[0, 7, 9]"
www.alamy.com,3,,"[9, 2, 3]"
thepennypantry.com,3,,"[9, 3, 1]"
www.wisebread.com,3,,"[8, 10, 4]"
www.eater.com,3,,"[2, 4, 3]"
www.precisionnutrition.com,3,,"[10, 2, 7]"
www.usda.gov,3,,"[2, 8, 10]"
www.orchidsandonions.org,3,,"[3, 9, 2]"
www.walmart.com,3,,"[5, 1, 2]"
www.ehow.com,3,,"[2, 11, 10]"
